filename,class
dog.446.jpg,dog
dog.3541.jpg,dog
dog.1934.jpg,dog
cat.1560.jpg,cat
dog.2257.jpg,dog
dog.3955.jpg,dog
dog.404.jpg,dog
cat.156.jpg,cat
cat.2614.jpg,cat
dog.471.jpg,dog
dog.3079.jpg,dog
dog.1433.jpg,dog
cat.1501.jpg,cat
cat.3176.jpg,cat
cat.1649.jpg,cat
dog.1868.jpg,dog
cat.421.jpg,cat
cat.775.jpg,cat
dog.3264.jpg,dog
cat.472.jpg,cat
dog.1160.jpg,dog
cat.3750.jpg,cat
dog.2805.jpg,dog
cat.1189.jpg,cat
dog.674.jpg,dog
cat.1643.jpg,cat
cat.283.jpg,cat
cat.1063.jpg,cat
cat.2961.jpg,cat
cat.989.jpg,cat
dog.778.jpg,dog
cat.3264.jpg,cat
dog.159.jpg,dog
cat.3565.jpg,cat
cat.2014.jpg,cat
cat.1749.jpg,cat
dog.1569.jpg,dog
cat.2652.jpg,cat
dog.3662.jpg,dog
dog.2146.jpg,dog
cat.230.jpg,cat
cat.3289.jpg,cat
dog.1839.jpg,dog
dog.2913.jpg,dog
dog.2091.jpg,dog
cat.2631.jpg,cat
dog.3928.jpg,dog
cat.2063.jpg,cat
cat.2729.jpg,cat
cat.1298.jpg,cat
cat.1143.jpg,cat
cat.593.jpg,cat
dog.3055.jpg,dog
cat.1017.jpg,cat
dog.2493.jpg,dog
cat.1525.jpg,cat
cat.3905.jpg,cat
cat.2701.jpg,cat
cat.3333.jpg,cat
dog.189.jpg,dog
cat.452.jpg,cat
cat.2840.jpg,cat
dog.1370.jpg,dog
cat.2884.jpg,cat
cat.425.jpg,cat
cat.1588.jpg,cat
cat.3438.jpg,cat
dog.1991.jpg,dog
dog.239.jpg,dog
dog.2771.jpg,dog
dog.3339.jpg,dog
cat.3066.jpg,cat
dog.517.jpg,dog
dog.2734.jpg,dog
cat.642.jpg,cat
cat.3454.jpg,cat
dog.1563.jpg,dog
dog.2689.jpg,dog
dog.3525.jpg,dog
cat.2082.jpg,cat
dog.514.jpg,dog
dog.3596.jpg,dog
dog.380.jpg,dog
dog.3281.jpg,dog
dog.2914.jpg,dog
cat.3390.jpg,cat
dog.458.jpg,dog
cat.2118.jpg,cat
dog.1269.jpg,dog
cat.1815.jpg,cat
cat.3593.jpg,cat
cat.2155.jpg,cat
cat.1604.jpg,cat
dog.1192.jpg,dog
cat.1112.jpg,cat
dog.1527.jpg,dog
cat.2142.jpg,cat
cat.2869.jpg,cat
dog.2652.jpg,dog
cat.3063.jpg,cat
dog.2496.jpg,dog
dog.460.jpg,dog
cat.898.jpg,cat
cat.3355.jpg,cat
cat.1591.jpg,cat
cat.1811.jpg,cat
dog.3880.jpg,dog
dog.1428.jpg,dog
dog.2581.jpg,dog
cat.910.jpg,cat
cat.1507.jpg,cat
cat.2748.jpg,cat
dog.685.jpg,dog
cat.2916.jpg,cat
dog.925.jpg,dog
dog.3312.jpg,dog
dog.1166.jpg,dog
cat.3819.jpg,cat
cat.1004.jpg,cat
cat.613.jpg,cat
cat.1635.jpg,cat
cat.3952.jpg,cat
dog.2238.jpg,dog
dog.3814.jpg,dog
dog.1795.jpg,dog
cat.865.jpg,cat
dog.3011.jpg,dog
dog.227.jpg,dog
dog.2389.jpg,dog
cat.324.jpg,cat
cat.2718.jpg,cat
cat.1605.jpg,cat
cat.1983.jpg,cat
dog.2005.jpg,dog
cat.2642.jpg,cat
cat.3823.jpg,cat
cat.1587.jpg,cat
cat.237.jpg,cat
cat.727.jpg,cat
dog.1531.jpg,dog
dog.3831.jpg,dog
dog.2151.jpg,dog
dog.3663.jpg,dog
dog.1642.jpg,dog
dog.974.jpg,dog
cat.3332.jpg,cat
cat.2042.jpg,cat
dog.1200.jpg,dog
cat.1275.jpg,cat
cat.3719.jpg,cat
dog.3152.jpg,dog
cat.2085.jpg,cat
dog.591.jpg,dog
dog.506.jpg,dog
cat.2105.jpg,cat
cat.2731.jpg,cat
dog.3146.jpg,dog
cat.696.jpg,cat
dog.2974.jpg,dog
cat.2607.jpg,cat
cat.70.jpg,cat
cat.1431.jpg,cat
dog.3431.jpg,dog
